title, company, technical_skill, image_url, job_url
Flutter Developer (Từ 4 Năm Kinh Nghiệm),VMO Holdings,"['Mid', 'Flux', 'Rest API', 'play', 'Android Studio', 'Web Token', 'MODE', 'Flutter', 'Redux', 'iOS', 'Android', 'JSON', 'GraphQL']",https://nodeflair.com/api/v2/companies/9280.png,https://nodeflair.com/jobs/vmo-holdings-flutter-developer-t-4-nam-kinh-nghi-m-193488?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Engineer,FPT,"['Mid', 'ETL', 'Spark', 'Linux', 'SQL', 'Hadoop', 'Python', 'openstack']",https://nodeflair.com/api/v2/companies/723.png,https://nodeflair.com/jobs/fpt-data-engineer-193492?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Engineer,FPT,"['Mid', 'ETL', 'Spark', 'Linux', 'SQL', 'Hadoop', 'Python', 'openstack']",https://nodeflair.com/api/v2/companies/723.png,https://nodeflair.com/jobs/fpt-data-engineer-193494?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
"Data Analyst (Senior, Junior)",FPT,"['Senior', 'Junior', 'Mid', 'SQL', 'Python']",https://nodeflair.com/api/v2/companies/723.png,https://nodeflair.com/jobs/fpt-data-analyst-senior-junior-193491?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Data Analyst,FTech,"['Junior', 'Analytics', 'R', 'PowerBI', 'SQL', 'Python']",https://nodeflair.com/api/v2/companies/8449.png,https://nodeflair.com/jobs/ftech-data-analyst-193484?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Fresher Fullstack C#/.Net Developer,FPT,"['Junior', 'MVC', 'AWS', 'Entity', 'Microsoft SQL Server', 'T SQL', 'Microsoft', 'HTML', 'Asp.net', 'Angular', 'JavaScript', 'SQL', 'Ajax', 'C#', 'jQuery', '.NET', 'CSS']",https://nodeflair.com/api/v2/companies/723.png,https://nodeflair.com/jobs/fpt-fresher-fullstack-c-net-developer-193496?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
QA Lead,BIPLUS SOFTWARE,['Lead'],https://nodeflair.com/api/v2/companies/10171.png,https://nodeflair.com/jobs/biplus-software-qa-lead-193497?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
IOS Developer (Lập Trình Viên IOS),NTQ Solution,"['Junior', 'Rest API', 'Objective C', 'API', 'Git', 'iOS', 'Swift']",https://nodeflair.com/api/v2/companies/11965.png,https://nodeflair.com/jobs/ntq-solution-ios-developer-l-p-trinh-vien-ios-193486?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Blockchain Developer (Solidity),Playground,"['Junior', 'Ethereum', 'Rust', 'React Native', 'Typescript', 'JavaScript', 'Node.js', 'React']",https://nodeflair.com/api/v2/companies/7626.png,https://nodeflair.com/jobs/playground-blockchain-developer-solidity-193367?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Tester,Fabbi,"['Junior', 'API', 'Flow', 'SQL']",https://nodeflair.com/api/v2/companies/12511.png,https://nodeflair.com/jobs/fabbi-tester-193365?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
System Administrator,CMC Global,"['Junior', 'HTTP', 'TCP', 'Shell Script', 'Windows Server', 'VSphere', 'CentOS', 'ubuntu', 'Shell', 'VMware', 'Apache', 'Chef', 'Puppet', 'Linux', 'Ansible', 'MySQL', 'Elasticsearch', 'MongoDB', 'Python']",https://nodeflair.com/api/v2/companies/8126.png,https://nodeflair.com/jobs/cmc-global-system-administrator-193366?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
"Senior Software Engineer, Backend",Grab,"['Senior', 'Go', 'Git']",https://nodeflair.com/api/v2/companies/168.png,https://nodeflair.com/jobs/grab-senior-software-engineer-backend-193265?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Fullstack Developer (Javascript) - BTC (all genders),HRS Group,"['Mid', 'Git', 'HTML', 'Angular', 'Ruby', 'JavaScript', 'Node.js', 'React', 'Python', 'CSS']",https://nodeflair.com/api/v2/companies/12766.png,https://nodeflair.com/jobs/hrs-group-fullstack-developer-javascript-btc-all-genders-193264?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
"Senior Software Engineer (PHP, Javascript)",GeoComply,"['AWS', 'Docker', 'Go', 'Kubernetes', 'JavaScript', 'Laravel', 'PostgreSQL', 'PHP', 'React', 'MongoDB']",https://nodeflair.com/api/v2/companies/12828.png,https://nodeflair.com/jobs/geocomply-senior-software-engineer-php-javascript-193263?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Backend Engineer,Aspire,"['Senior', 'AWS', 'Rest API', 'Go', 'API', 'Git', 'Java', 'Node.js', 'PHP', 'Python']",https://nodeflair.com/api/v2/companies/500.png,https://nodeflair.com/jobs/aspire-senior-backend-engineer-193262?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
QA Engineer,Corsair,"['iOS', 'Android', 'Python']",https://nodeflair.com/api/v2/companies/12818.png,https://nodeflair.com/jobs/corsair-qa-engineer-193261?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Software Engineer (.NET),AS White Global,"['Mid', 'MVC', 'Web Api', 'API', 'Entity', 'Microsoft', '.Net Core', 'RabbitMQ', 'HTML', 'Angular', 'JavaScript', 'SQL', 'C#', 'jQuery', '.NET', 'React', 'CSS']",https://nodeflair.com/api/v2/companies/14826.png,https://nodeflair.com/jobs/as-white-global-software-engineer-net-193260?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Fullstack Engineer (ReactJS & Python/GO),Hitachi Digital Services,"['Mid', 'Docker', 'Go', 'OOP', 'Linux', 'Angular', 'JavaScript', 'React', 'Python']",https://nodeflair.com/api/v2/companies/21112.png,https://nodeflair.com/jobs/hitachi-digital-services-fullstack-engineer-reactjs-python-go-193259?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
Senior Software Engineer,Microsoft,"['Senior', 'Strategy', 'C++', 'Go', 'Azure', 'Java', 'Linux', 'C', 'C#', 'Python']",https://nodeflair.com/api/v2/companies/339.png,https://nodeflair.com/jobs/microsoft-senior-software-engineer-193258?itm_campaign=job_search&itm_medium=listing&itm_source=nodeflair_jobs
